"x"
"ALKBH5|54890"
"PON3|5446"
"CD37|951"
"AKAP6|9472"
"JSRP1|126306"
"CLDN11|5010"
"PPP1CC|5501"
"TFG|10342"
"SYS1|90196"
"ANKRD27|84079"
"C5orf25|375484"
"C9orf123|90871"
"ARHGAP6|395"
"ZNF75D|7626"
"MRPS12|6183"
"SLBP|7884"
"RABEP2|79874"
"ATG4A|115201"
"PRKCH|5583"
"ITIH3|3699"
"URGCP|55665"
"KCTD21|283219"
"TLR4|7099"
"ZFP36|7538"
"FAM92A1|137392"
"DNHD1|144132"
"ZNF185|7739"
"DNMT1|1786"
"TNPO2|30000"
"ZNF238|10472"
"TMEM164|84187"
"ARSD|414"
"OSR1|130497"
"FAM38B|63895"
"WDR5|11091"
"FBXO9|26268"
"EXOC5|10640"
"COPS3|8533"
"C11orf59|55004"
"C6orf132|647024"
"RRAGA|10670"
"HRC|3270"
"LOC100133331|100133331"
"PTGIS|5740"
"TMEM186|25880"
"CLIP2|7461"
"IRF6|3664"
"CDCA7|83879"
"C6orf138|442213"
"PAWR|5074"
"CEP152|22995"
"GPS1|2873"
"GBAP1|2630"
"H2AFZ|3015"
"INPP4B|8821"
"PEMT|10400"
"EEA1|8411"
"SMG7|9887"
"RHOA|387"
"NCF1|653361"
"ELMOD3|84173"
"SEPHS2|22928"
"ZNF320|162967"
"C6orf154|221424"
"SIGLEC12|89858"
"TSKU|25987"
"INTS7|25896"
"ILVBL|10994"
"ZNF394|84124"
"CCDC61|729440"
"ZNF828|283489"
"KCNIP2|30819"
"PTK6|5753"
"DCUN1D1|54165"
"ATP6V1F|9296"
"C12orf68|387856"
"CLIC3|9022"
"CECR2|27443"
"GOSR2|9570"
"DHX40|79665"
"TBCC|6903"
"MYH9|4627"
"CALU|813"
"GLDN|342035"
"HSPA12A|259217"
"TCOF1|6949"
"AMIGO2|347902"
"TCTEX1D2|255758"
"NUS1|116150"
"AK2|204"
"STAU2|27067"
"LOH3CR2A|29931"
"SLC34A2|10568"
"NAT14|57106"
"C1QB|713"
"ENOX2|10495"
"MUM1L1|139221"
"NR2F2|7026"
"ASPHD1|253982"
"DENND1C|79958"
"C12orf52|84934"
"ECHDC2|55268"
"C2orf7|84279"
"KSR2|283455"
"C2CD4B|388125"
"SGK196|84197"
"RIOK3|8780"
"MTA2|9219"
"UTP23|84294"
"COX11|1353"
"GATAD2A|54815"
"SEC11A|23478"
"COMMD3|23412"
"DPYD|1806"
"FAM155B|27112"
"FIS1|51024"
"EIF3J|8669"
"CCR10|2826"
"KCTD12|115207"
"TNFSF12|8742"
"TEX264|51368"
"HES2|54626"
"CCDC3|83643"
"MPI|4351"
"CDH13|1012"
"WARS2|10352"
"MST1P9|11223"
"PDE1B|5153"
"ZNF75A|7627"
"SDSL|113675"
"RAI1|10743"
"NARFL|64428"
"WDR54|84058"
"GUSBP1|728411"
"ST6GAL1|6480"
"PSMD11|5717"
"PGAP1|80055"
"BCORL1|63035"
"HINT2|84681"
"POR|5447"
"POLDIP2|26073"
"EIF3CL|728689"
"RALGPS2|55103"
"MRPL41|64975"
"SNAPC3|6619"
"LAT2|7462"
"DCI|1632"
"PMFBP1|83449"
"ACACA|31"
"MKL2|57496"
"MET|4233"
"JUB|84962"
"DYSF|8291"
"SNX10|29887"
"UBR2|23304"
"HS6ST1|9394"
"APOOL|139322"
"RNF20|56254"
"CABC1|56997"
"LIMS3-LOC440895|100271835"
"SPIN3|169981"
"CD200R1|131450"
"DFNB59|494513"
"CDC14B|8555"
"COMTD1|118881"
"ORAOV1|220064"
"TMSB10|9168"
"RNF113A|7737"
"ARSA|410"
"AKAP12|9590"
"TRA2A|29896"
"NR1H2|7376"
"C15orf38|348110"
"SAFB|6294"
"METTL5|29081"
"IDH3A|3419"
"SRI|6717"
"QRICH2|84074"
"ZCCHC8|55596"
"UBR1|197131"
"STAC|6769"
"CYP1A1|1543"
"CNN2|1265"
"LGI4|163175"
"WHSC1L1|54904"
"GRTP1|79774"
"TTC39B|158219"
"POT1|25913"
"MARK4|57787"
"FIGN|55137"
"ZBED4|9889"
"TMUB2|79089"
"SGPP2|130367"
"KIAA1529|57653"
"LPCAT1|79888"
"MED29|55588"
"IFT88|8100"
"EPB41L2|2037"
"SPIRE2|84501"
"MYO1B|4430"
"DBC1|1620"
"KCNAB1|7881"
"MANEAL|149175"
"CPSF7|79869"
"C12orf56|115749"
"ITGA4|3676"
"WDR86|349136"
"SAMD14|201191"
"PJA1|64219"
"APOBEC3C|27350"
"IL3RA|3563"
"FGF1|2246"
"CPXM2|119587"
"NIPA1|123606"
"ZNF148|7707"
"MMRN2|79812"
"ZNF451|26036"
"LOC440957|440957"
"KPRP|448834"
"KCNQ1|3784"
"GNL2|29889"
"SLC35F3|148641"
"ZNF26|7574"
"RMND5A|64795"
"SFXN2|118980"
"SLC4A5|57835"
"DAAM2|23500"
"TEX261|113419"
"SMC1A|8243"
"NUDT12|83594"
"CDCA2|157313"
"KRT15|3866"
"PMS2L4|5382"
"SDCCAG3|10807"
"RUNDC1|146923"
"C17orf63|55731"
"TNIP2|79155"
"IKBKAP|8518"
"GDI2|2665"
"LOC400927|400927"
"KIAA1383|54627"
"ZNF610|162963"
"UBFD1|56061"
"FUT4|2526"
"ATP6V1B2|526"
"KLHDC8B|200942"
"NFATC2IP|84901"
"HIST1H2BC|8347"
"ZFP62|643836"
"SYTL1|84958"
"C7orf27|221927"
"PFKM|5213"
"TNFAIP8L3|388121"
"IGJ|3512"
"SAA1|6288"
"GALNT11|63917"
"REM1|28954"
"ARFGEF1|10565"
"SIRT5|23408"
"GPR4|2828"
"FANCF|2188"
"ACOT7|11332"
"PLAU|5328"
"SAMD4A|23034"
"BCL9L|283149"
"LEPRE1|64175"
"ENO1|2023"
"DNAJC1|64215"
"LOC113230|113230"
"MAGEH1|28986"
"SFRS6|6431"
"ZMIZ1|57178"
"LCA5L|150082"
"TRIT1|54802"
"FRMD8|83786"
"ZNF137|7696"
"BBS1|582"
"BCMO1|53630"
"MOBKL1A|92597"
"COX5A|9377"
"ASXL2|55252"
"SH3BP5|9467"
"HDGFRP2|84717"
"CAMK1|8536"
"C20orf20|55257"
"THOC6|79228"
"PMM1|5372"
"ELK3|2004"
"SASS6|163786"
"ZNF815|401303"
"TXLNA|200081"
"MAN1A1|4121"
"ARNT|405"
"RYK|6259"
"SSPN|8082"
"DAD1|1603"
"C14orf135|64430"
"SFXN4|119559"
"GTF2H2|2966"
"MICAL3|57553"
"DHX35|60625"
"CTSC|1075"
"UNC119B|84747"
"TTC7B|145567"
"C2orf67|151050"
"SETBP1|26040"
"ULK1|8408"
"CSTF3|1479"
"KRT6A|3853"
"BTD|686"
"SEPT4|5414"
"DHRS3|9249"
"TRIM7|81786"
"C11orf35|256329"
"LOC401397|401397"
"ZNF287|57336"
"SHE|126669"
"WBSCR27|155368"
"ARPC2|10109"
"TBRG4|9238"
"SOCS1|8651"
"DSN1|79980"
"C11orf10|746"
"TBCE|6905"
"STMN1|3925"
"DPF2|5977"
"ZDHHC8P1|150244"
"ESRP2|80004"
"ZNF580|51157"
"NUDT17|200035"
"UBOX5|22888"
"PRKCI|5584"
"TGFBR2|7048"
"BEAN|146227"
"GRAP|10750"
"TMOD2|29767"
"C11orf53|341032"
"ZNF2|7549"
"ALG5|29880"
"SAR1A|56681"
"GFPT2|9945"
"FAM18B|51030"
"ATP2B1|490"
"SAMSN1|64092"
"PTK7|5754"
"TULP4|56995"
"ZNF281|23528"
"DSC1|1823"
"ADM|133"
"HOOK1|51361"
"LOC151009|151009"
"ZNF616|90317"
"C1orf96|126731"
"GABPB1|2553"
"APPL1|26060"
"CLK4|57396"
"TBC1D10A|83874"
"FMNL2|114793"
"CYGB|114757"
"ARHGAP4|393"
"ARNT2|9915"
"DLGAP4|22839"
"MN1|4330"
"RAB39B|116442"
"PDXDC1|23042"
"MCM6|4175"
"VASH2|79805"
"RPL36A|6173"
"SLC25A37|51312"
"IGFL2|147920"
"ZFP112|7771"
"REPS2|9185"
"MYO5B|4645"
"DSEL|92126"
"ZNF772|400720"
"GATAD2B|57459"
"WDR48|57599"
"LSM10|84967"
"ATAD2|29028"
"VAPB|9217"
"RBMX|27316"
"CYorf15A|246126"
"PTPRK|5796"
"SETD3|84193"
"DNAJB2|3300"
"POP5|51367"
"TACC1|6867"
"RNGTT|8732"
"SHROOM1|134549"
"RBM43|375287"
"C4orf34|201895"
"MFSD1|64747"
"FAM18A|780776"
"TIA1|7072"
"SEC22B|9554"
"AP3M2|10947"
"ITIH5|80760"
"HOXC13|3229"
"TNF|7124"
"KIAA1191|57179"
"KIAA1522|57648"
"SNX16|64089"
"TSPAN3|10099"
"FAM72A|729533"
"DENND2D|79961"
"UBN2|254048"
"TUBB2B|347733"
"PLA2G4D|283748"
"FXR1|8087"
"SP3|6670"
"GPR133|283383"
"ADPRHL1|113622"
"SNX15|29907"
"HNRNPH3|3189"
"RELT|84957"
"PION|54103"
"RABEP1|9135"
"PLEKHB2|55041"
"NOB1|28987"
"MFI2|4241"
"PPM1A|5494"
"EVC|2121"
"CCDC76|54482"
"C3orf59|151963"
"SLC2A9|56606"
"PMS2L11|441263"
"PLA2G15|23659"
"POGK|57645"
"ADI1|55256"
"TTC23|64927"
"RBAK|57786"
"VAX2|25806"
"SMEK2|57223"
"RASGRP4|115727"
"SPNS3|201305"
"SYNC|81493"
"PALM3|342979"
"KRTCAP2|200185"
"APEX2|27301"
"STC2|8614"
"RPS10|6204"
"HAS2|3037"
"CBX6|23466"
"PPAN|56342"
"AIM2|9447"
"BAG1|573"
"KLC2|64837"
"TMEM188|255919"
"HPCAL1|3241"
"EHD1|10938"
"PML|5371"
"CNOT1|23019"
"JAG2|3714"
"IDH3G|3421"
"PHF21A|51317"
"OGDH|4967"
"GPR172A|79581"
"WHSC2|7469"
"NOLC1|9221"
"IGSF10|285313"
"ZFP14|57677"
"TMEM106C|79022"
"DAZAP1|26528"
"ACY3|91703"
"TRIM37|4591"
"PTTG1|9232"
"CES3|23491"
"GET4|51608"
"MAP1LC3B2|643246"
"TTC30A|92104"
"SEC14L4|284904"
"PIP4K2C|79837"
"FAAH2|158584"
"RBM5|10181"
"AQP11|282679"
"SLC4A2|6522"
"DDX3X|1654"
"LOC646762|646762"
"LANCL2|55915"
"HMGB1|3146"
"ATPBD4|89978"
"RBM33|155435"
"C8orf76|84933"
"ATF6B|1388"
"NAA10|8260"
"PCDH10|57575"
"GLIS1|148979"
"GMPR|2766"
"EPSTI1|94240"
"SRP54|6729"
"LMBR1L|55716"
"MMAA|166785"
"PARD6G|84552"
"FADS2|9415"
"BTBD19|149478"
"ZHX1|11244"
"RCE1|9986"
"ATXN2|6311"
"ZNF385B|151126"
"ANXA8|653145"
"VENTX|27287"
"SHMT2|6472"
"CLEC18A|348174"
"RNF41|10193"
"CLEC1A|51267"
"DERA|51071"
"FAM101B|359845"
"XCL2|6846"
"TCF7|6932"
"NOP58|51602"
"THAP4|51078"
"LRRC6|23639"
"P2RY1|5028"
"NIPAL1|152519"
"C9orf89|84270"
"C9orf16|79095"
"SKAP2|8935"
"SYDE1|85360"
"MLKL|197259"
"RYR2|6262"
"C8orf83|286144"
"TBC1D19|55296"
"BUB1B|701"
"ANGPTL4|51129"
"STRADA|92335"
"PELP1|27043"
"CYP2C18|1562"
"PTTG1IP|754"
"EPHX3|79852"
"RUSC1|23623"
"ELFN1|392617"
"SMAD4|4089"
"TACC2|10579"
"PSENEN|55851"
"MLL4|9757"
"IQSEC1|9922"
"CNTFR|1271"
"FAM125B|89853"
"DUSP1|1843"
"TMEM117|84216"
"RAB3D|9545"
"RPSA|3921"
"C1orf31|388753"
"DEAF1|10522"
"UBE2O|63893"
"C17orf103|256302"
"PPIP5K1|9677"
"POLR2J2|246721"
"RALGAPB|57148"
"LOC348926|348926"
"AMIGO3|386724"
"ITGAM|3684"
"FHL2|2274"
"CLGN|1047"
"SLC25A17|10478"
"SIVA1|10572"
"SMCR7|125170"
"TRAF1|7185"
"ENPP4|22875"
"RAB26|25837"
"LOC283663|283663"
"COPG|22820"
"VSIG10L|147645"
"NEURL2|140825"
"POLR3GL|84265"
"C12orf24|29902"
"HUNK|30811"
"C7orf28A|51622"
"SCPEP1|59342"
"SMU1|55234"
"FAM129A|116496"
"CNIH3|149111"
"SLC1A6|6511"
"C1orf183|55924"
"TRPV6|55503"
"OR51E1|143503"
"RTN4RL2|349667"
"ANXA5|308"
"WWC2|80014"
"ZNF444|55311"
"RPL34|6164"
"NDUFA12|55967"
"SPTB|6710"
"NCOA4|8031"
"NCKAP1|10787"
"CASP1|834"
"MOBKL2A|126308"
"RFC1|5981"
"THSD1|55901"
"ABCA17P|650655"
"PHF11|51131"
"EXOSC1|51013"
"FZD10|11211"
"PLD6|201164"
"NLRC3|197358"
"PROSC|11212"
"SLFN13|146857"
"RGS14|10636"
"RAB22A|57403"
"GALNS|2588"
"GEM|2669"
"PEX5|5830"
"ST3GAL2|6483"
"PDHX|8050"
"TKT|7086"
"PSMB10|5699"
"PHLPP1|23239"
"ZFP28|140612"
"HIRIP3|8479"
"MPHOSPH9|10198"
"LAPTM4B|55353"
"FRYL|285527"
"SIT1|27240"
"RAD9B|144715"
"FARSB|10056"
"SDR39U1|56948"
"FAM86C|55199"
"PGM2L1|283209"
"ADCY1|107"
"CLPP|8192"
"WNT3|7473"
"BID|637"
"SPRY2|10253"
"UBAP1|51271"
"C9orf78|51759"
"RPS3A|6189"
"RC3H2|54542"
"KRT10|3858"
"VRK2|7444"
"COPS4|51138"
"HOXB4|3214"
"C8orf59|401466"
"DPY19L2|283417"
"LBP|3929"
"FMR1|2332"
"ACAD9|28976"
"GRM4|2914"
"XKR9|389668"
"MRPL28|10573"
"MIPOL1|145282"
"FAH|2184"
"GPIHBP1|338328"
"XRRA1|143570"
"C2orf64|493753"
"DACT3|147906"
"CD226|10666"
"GATS|352954"
"ZNF275|10838"
"SURF1|6834"
"CRNKL1|51340"
"QRSL1|55278"
"CARS2|79587"
"GDAP2|54834"
"ZC3H14|79882"
"MCAT|27349"
"SYS1-DBNDD2|767557"
"MUCL1|118430"
"PITPNM3|83394"
"HSP90AB1|3326"
"HCFC1R1|54985"
"SLC13A3|64849"
"TANC1|85461"
"CTTNBP2|83992"
"MAST2|23139"
"NCCRP1|342897"
"BARD1|580"
"TTLL11|158135"
"ZC3H12D|340152"
"SPPL2B|56928"
"RNF182|221687"
"ERLIN2|11160"
"RBX1|9978"
"CDC42EP3|10602"
"ABCD4|5826"
"TUG1|55000"
"STK35|140901"
"MRPS14|63931"
"TFF3|7033"
"C1orf53|388722"
"MRPL43|84545"
"HSD17B14|51171"
"ENAH|55740"
"USP32|84669"
"COPE|11316"
"DTWD2|285605"
"STX3|6809"
"RGMA|56963"
"SMARCA4|6597"
"DNAJC16|23341"
"MUDENG|55745"
"JPH3|57338"
"SAAL1|113174"
"KIAA1949|170954"
"CAPN14|440854"
"GIMAP8|155038"
"GPRASP1|9737"
"NDUFB4|4710"
"HSD11B1L|374875"
"TIGIT|201633"
"APBA3|9546"
"C9orf80|58493"
"NFKB1|4790"
"LGALS7B|653499"
"ZNF561|93134"
"IGF1R|3480"
"UNK|85451"
"FBXL19|54620"
"PCSK7|9159"
"PCSK6|5046"
"NOX4|50507"
"DOK7|285489"
"ODF2|4957"
"NCRNA00105|80161"
"BCL2L1|598"
"LMF1|64788"
"VARS2|57176"
"DACH1|1602"
"PUS10|150962"
"CABLES2|81928"
"UTP6|55813"
"PTGFRN|5738"
"OPTN|10133"
"FAM96A|84191"
"USMG5|84833"
"JMJD1C|221037"
"ADPGK|83440"
"KIAA1109|84162"
"ZMAT2|153527"
"WDR8|49856"
"NCK1|4690"
"PDLIM3|27295"
"USP18|11274"
"UBE2Z|65264"
"TSPAN7|7102"
"C9orf150|286343"
"NAGLU|4669"
"CAP1|10487"
"HSP90AB2P|391634"
"DAZAP2|9802"
"KIF26B|55083"
"SEMA7A|8482"
"PIAS3|10401"
"PKN2|5586"
"RYR3|6263"
"WARS|7453"
"LMNB2|84823"
"THRAP3|9967"
"SLC38A1|81539"
"C16orf61|56942"
"PLEKHM1|9842"
"RBBP7|5931"
"NAA40|79829"
"CRMP1|1400"
"ZNF267|10308"
"C14orf159|80017"
"ENY2|56943"
"PPP2R5C|5527"
"C20orf94|128710"
"PDE10A|10846"
"EPAS1|2034"
"OSBPL5|114879"
"RBMS3|27303"
"ATP1B2|482"
"TFIP11|24144"
"ISLR2|57611"
"C8orf84|157869"
"TFB1M|51106"
"MMP14|4323"
"RFWD3|55159"
"CEACAM1|634"
"FAM49B|51571"
"C5orf33|133686"
"SLC1A1|6505"
"ABHD12|26090"
"SLC9A4|389015"
"ALDH1B1|219"
"C1orf97|84791"
"SERF2|10169"
"ADORA1|134"
"COPS6|10980"
"TIPIN|54962"
"IL1RL2|8808"
"FANCG|2189"
"ZC3H11A|9877"
"B3GALTL|145173"
"TMEM187|8269"
"GPR107|57720"
"ANO10|55129"
"C19orf59|199675"
"TXLNG|55787"
"FBXO31|79791"
"RPL9|6133"
"DALRD3|55152"
"CIC|23152"
"POLR2J|5439"
"DNAJC19|131118"
"ERI1|90459"
"MYCT1|80177"
"KLHL20|27252"
"PROM1|8842"
"ARID5B|84159"
"DHRS13|147015"
"RNF214|257160"
"ZNF761|388561"
"ZMYM1|79830"
"IL15RA|3601"
"PALM2|114299"
"EPB41|2035"
"HIST2H2BF|440689"
"ZFYVE26|23503"
"BMS1|9790"
"GALNT10|55568"
"GOSR1|9527"
"DNLZ|728489"
"DDX18|8886"
"ELAC2|60528"
"DGAT1|8694"
"PRSS23|11098"
"C1orf190|541468"
"KRI1|65095"
"FAM45B|55855"
"ISOC2|79763"
"LRRC56|115399"
"UNC13A|23025"
"MMP17|4326"
"ZNF350|59348"
"PPIAL4G|644591"
"FOLR1|2348"
"SFRS14|10147"
"RPS19BP1|91582"
"PCDHGB4|8641"
"PPIB|5479"
"ACVR1|90"
"FLT1|2321"
"FA2H|79152"
"SMOC1|64093"
"S100A6|6277"
"RPL35A|6165"
"DVL1|1855"
"TBC1D3C|414060"
"GPER|2852"
"ATXN10|25814"
"ZNF165|7718"
"GDI1|2664"
"CSDA|8531"
"PNOC|5368"
"DGCR14|8220"
"MRPL22|29093"
"TTC26|79989"
"THRA|7067"
"SLC16A2|6567"
"FURIN|5045"
"NAV2|89797"
"DYNC1I1|1780"
"ZBTB2|57621"
"RPL27|6155"
"LRRC45|201255"
"MAPK8IP3|23162"
"NUDT3|11165"
"UBE2Q1|55585"
"BDKRB2|624"
"SLC25A29|123096"
"FLJ42289|388182"
"LGR6|59352"
"ZFAND1|79752"
"AGER|177"
"C17orf89|284184"
"SFRS15|57466"
"RNF183|138065"
"PANX2|56666"
"SMARCE1|6605"
"CORIN|10699"
"ATRNL1|26033"
"ATXN7L1|222255"
"EPM2AIP1|9852"
"RPL13AP20|387841"
"DUSP9|1852"
"EIF4ENIF1|56478"
"MOCS1|4337"
"RTKN|6242"
"NSUN5P1|155400"
"MSH5|4439"
"IL15|3600"
"C16orf13|84326"
"SEC24C|9632"
"PIGY|84992"
"C19orf56|51398"
"PNPLA7|375775"
"ZNF785|146540"
"PPM1M|132160"
"SOS1|6654"
"PTER|9317"
"C18orf56|494514"
"COL3A1|1281"
"HIAT1|64645"
"NCKAP1L|3071"
"C12orf59|120939"
"SEPT3|55964"
"ATG2B|55102"
"MYH3|4621"
"LRRC58|116064"
"MIS12|79003"
"ARL6IP1|23204"
"EIF2AK2|5610"
"MED16|10025"
"TRIM59|286827"
"CHRNE|1145"
"SPG21|51324"
"IL2RB|3560"
"ZNF672|79894"
"NSD1|64324"
"CTDSP1|58190"
"PTPRM|5797"
"ATAD3C|219293"
"RPS13|6207"
"ADNP2|22850"
"CREB1|1385"
"SEPT7|989"
"C14orf93|60686"
"GDPD2|54857"
"LMAN2L|81562"
"RNF34|80196"
"TMEM150C|441027"
"GSTT1|2952"
"RPL7|6129"
"STXBP4|252983"
"ACADVL|37"
"UNC45A|55898"
"MOCOS|55034"
"HOXD11|3237"
"PPP1R12B|4660"
"KRT8|3856"
"HOXD3|3232"
"SNHG1|23642"
"NOL12|79159"
"FAM78A|286336"
"PSMG3|84262"
"SLC39A4|55630"
"SUDS3|64426"
"LONP2|83752"
"FLAD1|80308"
"SNX11|29916"
"PGAM2|5224"
"PRDX6|9588"
"GPR56|9289"
"HPGD|3248"
"RPL3|6122"
"ANAPC2|29882"
"DDX1|1653"
"TBCK|93627"
"P2RY2|5029"
"NINJ1|4814"
"SIK3|23387"
"C12orf32|83695"
"HIST2H2AC|8338"
"ATXN1L|342371"
"C12orf49|79794"
"LRP4|4038"
"CYorf15B|84663"
"HIBCH|26275"
"GAS6|2621"
"SLC35A1|10559"
"RNF38|152006"
"IRF9|10379"
"SLCO1A2|6579"
"ANXA3|306"
"PWWP2A|114825"
"TWSG1|57045"
"PGM3|5238"
"C12orf60|144608"
"BCAT2|587"
"PMS2L5|5383"
"RIC8B|55188"
"PHEX|5251"
"ADAMTS15|170689"
"ZC3H3|23144"
"B3GALNT2|148789"
"TTC8|123016"
"WDR55|54853"
"RNF10|9921"
"IGFBP6|3489"
"PUF60|22827"
"C17orf51|339263"
"PAX7|5081"
"STIM1|6786"
"LOC729678|729678"
"DDX19B|11269"
"ALX3|257"
"GHDC|84514"
"TGFBR3|7049"
"WBP2|23558"
"NGB|58157"
"PPP3R1|5534"
"FAM110C|642273"
"CPSF2|53981"
"FCRLA|84824"
"RMRP|6023"
"C17orf96|100170841"
"METAP1|23173"
"FKBP10|60681"
"ANO9|338440"
"ZNF136|7695"
"SYT17|51760"
"CXCL1|2919"
"ATL1|51062"
"DHRS7|51635"
"MICA|4276"
"GATSL1|389523"
"SNHG7|84973"
"LGALS3|3958"
"KLF8|11279"
"GAB2|9846"
"HAP1|9001"
"LOC100272217|100272217"
"CHAD|1101"
"ACTR6|64431"
"TSC22D3|1831"
"TRO|7216"
"KRT81|3887"
"RBM15B|29890"
"HNRNPK|3190"
"FAM60A|58516"
"GALNT14|79623"
"FAM200A|221786"
"CR1|1378"
"IL20RA|53832"
"C14orf142|84520"
"FAM181B|220382"
"C14orf106|55320"
"SYT8|90019"
"SLC39A10|57181"
"CRTC3|64784"
"SLFN11|91607"
"SLC25A5|292"
"ANAPC11|51529"
"DDX52|11056"
"FGR|2268"
"C6orf134|79969"
"LOC728613|728613"
"CASP4|837"
"SEMA4A|64218"
"MED12L|116931"
"VDR|7421"
"LOC151534|151534"
"CCDC46|201134"
"ZC3H8|84524"
"LIMK2|3985"
"LOC221710|221710"
"MIOS|54468"
"CMTM7|112616"
"CNP|1267"
"UNKL|64718"
"GPN3|51184"
"PTN|5764"
"CCDC88A|55704"
"CPZ|8532"
"DNAJC7|7266"
"TOR1B|27348"
"SNAPC1|6617"
"MPZL3|196264"
"IL10RB|3588"
"UBA1|7317"
"GBP4|115361"
"TRIP12|9320"
"NFKBIE|4794"
"GSC|145258"
"CENPL|91687"
"ANKRD43|134548"
"SNHG6|641638"
"KCTD9|54793"
"CXCL14|9547"
"NCOA3|8202"
"ARFGEF2|10564"
"CCDC64B|146439"
"C14orf149|112849"
"HELZ|9931"
"ST3GAL1|6482"
"SIDT2|51092"
"LARP1B|55132"
"DENND5B|160518"
"ASB2|51676"
"AGFG2|3268"
"SYNJ1|8867"
"C12orf57|113246"
"ZNF345|25850"
"NSUN7|79730"
"CSTB|1476"
"NUDCD2|134492"
"POLH|5429"
"PHACTR1|221692"
"GNAS|2778"
"TALDO1|6888"
"DLL4|54567"
"EHD3|30845"
"FAM136A|84908"
"HAGH|3029"
"MVD|4597"
"SPTBN1|6711"
"RALA|5898"
"CDK2|1017"
"CD1A|909"
"SAP18|10284"
"INF2|64423"
"ACBD4|79777"
"C7orf53|286006"
"SPTLC1|10558"
"YKT6|10652"
"IGSF1|3547"
"TYROBP|7305"
"FCGRT|2217"
"NOL7|51406"
"NFS1|9054"
"LGALS3BP|3959"
"ZNF212|7988"
"HSPB8|26353"
"ATP2A3|489"
"TMEM138|51524"
"DNAJC5|80331"
"SPOCD1|90853"
"CPPED1|55313"
"LYRM7|90624"
"GABPB2|126626"
"NEIL3|55247"
"SETDB1|9869"
"VEGFB|7423"
"TBC1D22A|25771"
"NARG2|79664"
"COL2A1|1280"
"HOXD10|3236"
"CHFR|55743"
"TAF7L|54457"
"PMS2L1|5379"
"NDST2|8509"
"CMC1|152100"
"TWISTNB|221830"
"RSPO3|84870"
"ATXN7|6314"
"SPTBN2|6712"
"C5|727"
"BVES|11149"
"CHPF2|54480"
"HLCS|3141"
"PTPLA|9200"
"GGT6|124975"
"UBE2C|11065"
"CRABP1|1381"
"SEMA3A|10371"
"GRAMD2|196996"
"LRFN4|78999"
"CLUAP1|23059"
"ZNF436|80818"
"STAG3|10734"
"IRX3|79191"
"ZNF547|284306"
"RNASE2|6036"
"ZNF622|90441"
"RPS17|6218"
"SOD1|6647"
"RPL36|25873"
"DDIT4|54541"
"DCLK2|166614"
"MAFG|4097"
"TEF|7008"
"DEM1|64789"
"SSR1|6745"
"AS3MT|57412"
"PPIL3|53938"
"KIAA0319L|79932"
"RPP40|10799"
"OGN|4969"
"PXK|54899"
"TMEM110|375346"
"HOOK3|84376"
"S100A16|140576"
"TMEM38A|79041"
"IFT122|55764"
"CBR4|84869"
"CPSF3L|54973"
"COLEC11|78989"
"LPPR2|64748"
"PEX1|5189"
"HIST1H3D|8351"
"SENP3|26168"
"MAGOH|4116"
"TBK1|29110"
"LIME1|54923"
"OLFML1|283298"
"EDNRA|1909"
"C10orf18|54906"
"CARD16|114769"
"EVI2B|2124"
"C1orf107|27042"
"SH3BGR|6450"
"PLCE1|51196"
"IL1A|3552"
"GPR34|2857"
"DYNLRB1|83658"
"SETD7|80854"
"CDC6|990"
"ARHGAP21|57584"
"SKIV2L2|23517"
"SPATA17|128153"
"PRDXDD1P|344405"
"MAGEA9B|728269"
"MOSPD3|64598"
"FUK|197258"
"ERMAP|114625"
"ATP2A1|487"
"CDCP1|64866"
"NCRNA00086|399668"
"CSPP1|79848"
"RPS27A|6233"
"XIAP|331"
"PPIC|5480"
"CHCHD2|51142"
"PPIP5K2|23262"
"CDX2|1045"
"SCML4|256380"
"BICD1|636"
"CEBPD|1052"
"EEF1A2|1917"
"CBLL1|79872"
"SIK1|150094"
"ZNF398|57541"
"CP|1356"
"PITPNC1|26207"
"SAPS3|55291"
"PMPCB|9512"
"SCO2|9997"
"SRXN1|140809"
"NMNAT3|349565"
"NCF4|4689"
"PPM1B|5495"
"TMEM60|85025"
"LOC100132111|100132111"
"SLC30A6|55676"
"LTV1|84946"
"KDSR|2531"
"ATF2|1386"
"C20orf4|25980"
"C19orf57|79173"
"SYTL5|94122"
"ZNF526|116115"
"MON1B|22879"
"HSPBAP1|79663"
"KIAA0913|23053"
"S100A11|6282"
"MEIS3P1|4213"
"LRRC59|55379"
"EPGN|255324"
"CD69|969"
"GPT|2875"
"FANCD2|2177"
"SLC16A5|9121"
"RNF144B|255488"
"TMEM14B|81853"
"PDHB|5162"
"CSK|1445"
"PPP2R3B|28227"
"ENTPD8|377841"
"ZNF844|284391"
"GNAZ|2781"
"ZNF768|79724"
"C17orf97|400566"
"POLR2A|5430"
"ARPC3|10094"
"TGOLN2|10618"
"BCKDHA|593"
"C17orf90|339229"
"ZDHHC7|55625"
"BHLHB9|80823"
"GTPBP8|29083"
"LOC554202|554202"
"FAM65A|79567"
"HAND2|9464"
"XIRP1|165904"
"B2M|567"
"HLA-DQA2|3118"
"SH3RF1|57630"
"MAP2K3|5606"
"GPKOW|27238"
"WBP1|23559"
"SEMA3D|223117"
"EMID1|129080"
"CHI3L1|1116"
"SAA2|6289"
"SUSD2|56241"
